ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
11978.18,CALL,W0-31,slow_greet,degraded,11978.26,0.08,[fallback-slow] Service temporarily unavailable 
11979.96,CALL,W4-31,slow_greet,degraded,11979.98,0.02,[fallback-slow] Service temporarily unavailable 
11980.47,CALL,W2-31,slow_greet,degraded,11980.51,0.04,[fallback-slow] Service temporarily unavailable 
11981.63,CALL,W7-31,slow_greet,degraded,11981.66,0.03,[fallback-slow] Service temporarily unavailable 
11982.29,CALL,W3-31,slow_greet,degraded,11982.3,0.01,[fallback-slow] Service temporarily unavailable 
11982.31,CALL,W1-31,slow_greet,degraded,11982.32,0.01,[fallback-slow] Service temporarily unavailable 
11982.75,CALL,W6-31,slow_greet,degraded,11982.84,0.09,[fallback-slow] Service temporarily unavailable 
11983.69,CALL,W5-31,slow_greet,degraded,11983.7,0.01,[fallback-slow] Service temporarily unavailable 
12008.52,CALL,W0-32,slow_greet,degraded,12008.53,0.02,[fallback-slow] Service temporarily unavailable 
12010.82,CALL,W2-32,slow_greet,degraded,12010.85,0.03,[fallback-slow] Service temporarily unavailable 
12010.87,CALL,W4-32,slow_greet,degraded,12010.89,0.01,[fallback-slow] Service temporarily unavailable 
12011.93,CALL,W7-32,slow_greet,degraded,12011.95,0.03,[fallback-slow] Service temporarily unavailable 
12012.65,CALL,W1-32,slow_greet,degraded,12012.66,0.01,[fallback-slow] Service temporarily unavailable 
12013.3,CALL,W6-32,slow_greet,degraded,12013.36,0.06,[fallback-slow] Service temporarily unavailable 
12013.38,CALL,W3-32,slow_greet,degraded,12013.39,0.01,[fallback-slow] Service temporarily unavailable 
12014.65,CALL,W5-32,slow_greet,degraded,12014.66,0.01,[fallback-slow] Service temporarily unavailable 
12039.44,CALL,W0-33,slow_greet,degraded,12039.45,0.02,[fallback-slow] Service temporarily unavailable 
12041.06,CALL,W2-33,slow_greet,degraded,12041.09,0.03,[fallback-slow] Service temporarily unavailable 
12041.11,CALL,W4-33,slow_greet,degraded,12041.12,0.01,[fallback-slow] Service temporarily unavailable 
12043.08,CALL,W7-33,slow_greet,degraded,12043.09,0.01,[fallback-slow] Service temporarily unavailable 
12043.12,CALL,W1-33,slow_greet,degraded,12043.13,0.01,[fallback-slow] Service temporarily unavailable 
12043.71,CALL,W6-33,slow_greet,degraded,12043.72,0.01,[fallback-slow] Service temporarily unavailable 
12043.75,CALL,W3-33,slow_greet,degraded,12043.77,0.01,[fallback-slow] Service temporarily unavailable 
12045.69,CALL,W5-33,slow_greet,degraded,12045.73,0.04,[fallback-slow] Service temporarily unavailable 
12058.28,CTRL,C1-15,RELOAD_greeter_v2,OK,12059.18,0.9,→ v23
12062.37,CTRL,C0-6,REPLACE_V1,OK,12063.37,1.0,→ v24
12070.2,CALL,W0-34,slow_greet,v1,14070.56,2000.36,"Slow hello, W0-34! (from greeter v1.0)"
12071.99,CALL,W4-34,slow_greet,v1,14072.37,2000.37,"Slow hello, W4-34! (from greeter v1.0)"
12072.05,CALL,W2-34,slow_greet,v1,14072.33,2000.27,"Slow hello, W2-34! (from greeter v1.0)"
12073.74,CALL,W6-34,slow_greet,v1,14074.08,2000.34,"Slow hello, W6-34! (from greeter v1.0)"
12073.83,CALL,W1-34,slow_greet,v1,14074.02,2000.19,"Slow hello, W1-34! (from greeter v1.0)"
12073.86,CALL,W7-34,slow_greet,v1,14074.05,2000.2,"Slow hello, W7-34! (from greeter v1.0)"
12074.32,CALL,W3-34,slow_greet,v1,14074.63,2000.31,"Slow hello, W3-34! (from greeter v1.0)"
12076.85,CALL,W5-34,slow_greet,v1,14077.13,2000.28,"Slow hello, W5-34! (from greeter v1.0)"
12309.6,CTRL,C1-16,UNLOAD,OK,12310.02,0.42,unload=True
12810.42,CTRL,C1-16,RELOAD_greeter_v3,OK,12811.21,0.79,→ v25
13061.54,CTRL,C1-17,UNLOAD,OK,13061.94,0.4,unload=True
13562.68,CTRL,C1-17,RELOAD_greeter_v1,OK,13563.48,0.8,→ v26
13814.19,CTRL,C1-18,UNLOAD,OK,13814.47,0.28,unload=True
14068.37,CTRL,C0-7,REPLACE_V2,OK,14069.22,0.86,→ v27
14101.05,CALL,W0-35,slow_greet,v2,16101.39,2000.34,"Slow hey, W0-35! Welcome back! (from greeter v2."
14102.78,CALL,W2-35,slow_greet,v2,16103.02,2000.25,"Slow hey, W2-35! Welcome back! (from greeter v2."
14103.3,CALL,W4-35,slow_greet,v2,16103.58,2000.28,"Slow hey, W4-35! Welcome back! (from greeter v2."
14105.05,CALL,W3-35,slow_greet,v2,16106.29,2001.24,"Slow hey, W3-35! Welcome back! (from greeter v2."
14105.17,CALL,W1-35,slow_greet,v2,16106.24,2001.07,"Slow hey, W1-35! Welcome back! (from greeter v2."
14105.2,CALL,W7-35,slow_greet,v2,16106.35,2001.15,"Slow hey, W7-35! Welcome back! (from greeter v2."
14105.22,CALL,W6-35,slow_greet,v2,16106.47,2001.24,"Slow hey, W6-35! Welcome back! (from greeter v2."
14108.79,CALL,W5-35,slow_greet,v2,16109.17,2000.38,"Slow hey, W5-35! Welcome back! (from greeter v2."
14315.03,CTRL,C1-18,RELOAD_greeter_v2,OK,14316.01,0.98,→ v28
14567.21,CTRL,C1-19,UNLOAD,OK,14567.49,0.29,unload=True
15068.2,CTRL,C1-19,RELOAD_greeter_v3,OK,15068.98,0.78,→ v29
15319.8,CTRL,C1-20,UNLOAD,OK,15320.07,0.26,unload=True
15820.56,CTRL,C1-20,RELOAD_greeter_v1,OK,15821.36,0.8,→ v30
16071.96,CTRL,C1-21,UNLOAD,OK,16072.24,0.28,unload=True
16573.18,CTRL,C1-21,RELOAD_greeter_v2,OK,16573.93,0.74,→ v31
