ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
40491.62,CALL,W9-60,slow_greet,v2,42492.02,2000.4,"Slow hey, W9-60! Welcome back! (from greeter v2."
40491.67,CALL,W11-60,slow_greet,v2,42492.05,2000.38,"Slow hey, W11-60! Welcome back! (from greeter v2"
40494.72,CALL,W4-60,slow_greet,v2,42495.14,2000.42,"Slow hey, W4-60! Welcome back! (from greeter v2."
40987.53,CTRL,C1-13,REPLACE_V1,OK,40988.66,1.13,→ v26
42080.9,CTRL,C0-14,REPLACE_V3,OK,42081.94,1.04,→ v27
42514.63,CALL,W0-61,slow_greet,v3,44014.8,1500.17,"Slow hiya, W0-61! Long time no see! (from greete"
42514.7,CALL,W7-61,slow_greet,v3,44015.78,1501.08,"Slow hiya, W7-61! Long time no see! (from greete"
42514.74,CALL,W8-61,slow_greet,v3,44015.86,1501.12,"Slow hiya, W8-61! Long time no see! (from greete"
42516.73,CALL,W6-61,slow_greet,v3,44017.17,1500.43,"Slow hiya, W6-61! Long time no see! (from greete"
42517.3,CALL,W5-61,slow_greet,v3,44017.67,1500.37,"Slow hiya, W5-61! Long time no see! (from greete"
42517.38,CALL,W3-61,slow_greet,v3,44017.71,1500.33,"Slow hiya, W3-61! Long time no see! (from greete"
42520.84,CALL,W15-61,slow_greet,v3,44021.28,1500.44,"Slow hiya, W15-61! Long time no see! (from greet"
42520.88,CALL,W14-61,slow_greet,v3,44021.16,1500.29,"Slow hiya, W14-61! Long time no see! (from greet"
42520.91,CALL,W13-61,slow_greet,v3,44021.25,1500.34,"Slow hiya, W13-61! Long time no see! (from greet"
42520.93,CALL,W10-61,slow_greet,v3,44021.21,1500.28,"Slow hiya, W10-61! Long time no see! (from greet"
42521.42,CALL,W12-61,slow_greet,v3,44021.8,1500.38,"Slow hiya, W12-61! Long time no see! (from greet"
42521.45,CALL,W2-61,slow_greet,v3,44021.72,1500.27,"Slow hiya, W2-61! Long time no see! (from greete"
42522.05,CALL,W1-61,slow_greet,v3,44022.28,1500.23,"Slow hiya, W1-61! Long time no see! (from greete"
42522.62,CALL,W9-61,slow_greet,v3,44023.09,1500.47,"Slow hiya, W9-61! Long time no see! (from greete"
42522.64,CALL,W11-61,slow_greet,v3,44023.17,1500.52,"Slow hiya, W11-61! Long time no see! (from greet"
42525.31,CALL,W4-61,slow_greet,v3,44025.75,1500.44,"Slow hiya, W4-61! Long time no see! (from greete"
43006.2,CTRL,C1-14,RELOAD_V2,OK,43007.22,1.02,→ v28
43285.77,CTRL,C0-15,REPLACE_V1,OK,43287.31,1.54,→ v29
44044.87,CALL,W0-62,slow_greet,v1,46045.12,2000.26,"Slow hello, W0-62! (from greeter v1.0)"
44046.25,CALL,W8-62,slow_greet,v1,46046.75,2000.5,"Slow hello, W8-62! (from greeter v1.0)"
44046.29,CALL,W7-62,slow_greet,v1,46046.79,2000.51,"Slow hello, W7-62! (from greeter v1.0)"
44047.33,CALL,W6-62,slow_greet,v1,46047.82,2000.49,"Slow hello, W6-62! (from greeter v1.0)"
44048.63,CALL,W5-62,slow_greet,v1,46048.98,2000.34,"Slow hello, W5-62! (from greeter v1.0)"
44048.71,CALL,W3-62,slow_greet,v1,46048.93,2000.22,"Slow hello, W3-62! (from greeter v1.0)"
44051.24,CALL,W14-62,slow_greet,v1,46051.49,2000.25,"Slow hello, W14-62! (from greeter v1.0)"
44051.31,CALL,W13-62,slow_greet,v1,46051.6,2000.29,"Slow hello, W13-62! (from greeter v1.0)"
44051.81,CALL,W10-62,slow_greet,v1,46052.13,2000.32,"Slow hello, W10-62! (from greeter v1.0)"
44052.33,CALL,W15-62,slow_greet,v1,46052.69,2000.37,"Slow hello, W15-62! (from greeter v1.0)"
44052.39,CALL,W2-62,slow_greet,v1,46052.66,2000.27,"Slow hello, W2-62! (from greeter v1.0)"
44052.43,CALL,W12-62,slow_greet,v1,46052.73,2000.3,"Slow hello, W12-62! (from greeter v1.0)"
44053.02,CALL,W1-62,slow_greet,v1,46053.22,2000.21,"Slow hello, W1-62! (from greeter v1.0)"
44053.51,CALL,W9-62,slow_greet,v1,46053.85,2000.34,"Slow hello, W9-62! (from greeter v1.0)"
44054.12,CALL,W11-62,slow_greet,v1,46054.48,2000.37,"Slow hello, W11-62! (from greeter v1.0)"
44055.8,CALL,W4-62,slow_greet,v1,46056.08,2000.28,"Slow hello, W4-62! (from greeter v1.0)"
